Pair: PB and RNST, Profit: 957.3065468509724
Pair: FFBC and HOMB, Profit: 957.282970872879
Pair: ONB and SBCF, Profit: 957.1384102029263
Pair: ASB and CBSH, Profit: 956.3609334169149
Pair: FBMS and KRNY, Profit: 955.4080767111914
Pair: BPOP and FFBC, Profit: 954.0330717694627
Pair: BPOP and ONB, Profit: 953.0374032230178
Pair: CADE and UCB, Profit: 949.9569914736966
Pair: CATY and FNB, Profit: 949.1516562840743
Pair: MLM and VMC, Profit: 946.7240145259824
Pair: FBMS and HTLF, Profit: 946.5245541831043
Pair: CADE and UBSI, Profit: 946.1453785386869
Pair: HOPE and TOWN, Profit: 945.8740754806291
Pair: FNB and PB, Profit: 945.6237862352256
Pair: BUSE and UBSI, Profit: 945.3196475567921
Pair: PNC and WBS, Profit: 945.1290375305696
Pair: ONB and UBSI, Profit: 943.8129253213976
Pair: CFB and FCF, Profit: 942.5705215320066
Pair: AUB and SFNC, Profit: 942.0914522349352
Pair: PB and SFNC, Profit: 941.9449972668757
Pair: EBC and UBSI, Profit: 940.4571639375336
Pair: BPOP and FIBK, Profit: 939.1752435740276
Pair: AUB and HOPE, Profit: 938.2805149898453
Pair: ONB and WSBC, Profit: 937.8128363443237
Pair: CFB and SFNC, Profit: 937.4297488267938
Pair: FFBC and FULT, Profit: 937.0655536210724
Pair: ONB and SFNC, Profit: 934.146943318322
Pair: FFBC and PFS, Profit: 932.7398806082383
Pair: HOPE and RNST, Profit: 932.1232584161753
Pair: ASB and FBMS, Profit: 929.9303720059534
Pair: GBCI and PB, Profit: 929.211725374148
Pair: DRH and SHO, Profit: 926.4879774730732
Pair: FNB and UCB, Profit: 926.3779639299495
Pair: COLB and ONB, Profit: 923.1273413620767
Pair: FIBK and GBCI, Profit: 922.0723695591103
Pair: FFBC and HTLF, Profit: 922.0135579863156
Pair: CATY and FULT, Profit: 920.8755295929617
Pair: FCF and PFS, Profit: 918.7241537712245
Pair: SFNC and UCB, Profit: 916.5430801500188
Pair: ABCB and HOPE, Profit: 916.411981710663
Pair: AX and FNB, Profit: 915.8765084530107
Pair: CVBF and UCB, Profit: 914.4926123369341
Pair: ABCB and FULT, Profit: 913.5470045776409
Pair: CINF and HIG, Profit: 911.5006089263655
Pair: ASB and WTFC, Profit: 911.3201202951177
Pair: ASB and FNB, Profit: 911.1298202099821
Pair: CATY and FBP, Profit: 909.3099614820723
Pair: PB and PFS, Profit: 909.1845225773072
Pair: CADE and RNST, Profit: 906.8960078717494
Pair: SFNC and UBSI, Profit: 905.7493171510436
Pair: FFBC and WTFC, Profit: 902.4146873222743
Pair: EWBC and FBMS, Profit: 899.9635890417421
Pair: FIBK and RNST, Profit: 898.6430375956201
Pair: ASB and UCB, Profit: 898.0000728662105
Pair: AUB and EBC, Profit: 896.9712031798367
Pair: CFR and FBMS, Profit: 896.9603974352469
Pair: EBC and HOPE, Profit: 896.7579598505686
Pair: UCB and ZION, Profit: 896.6844209234808
Pair: UBSI and WSFS, Profit: 894.696904176247
Pair: CATY and HTBK, Profit: 893.3772093970603
Pair: CATY and WBS, Profit: 892.325177165001
Pair: ABCB and EBC, Profit: 891.8106524928397
Pair: DRH and HST, Profit: 891.4250537557391
Pair: ABCB and SBCF, Profit: 887.8382169001646
Pair: BKU and ONB, Profit: 887.7342946394142
Pair: NWBI and OCFC, Profit: 887.3466781852716
Pair: BANR and OCFC, Profit: 884.6177406015069
Pair: BUSE and KRNY, Profit: 880.903879678916
Pair: HTBK and SFNC, Profit: 880.1725620041117
Pair: BPOP and SFNC, Profit: 879.739119133749
Pair: COLB and ZION, Profit: 879.5430145457816
Pair: COLB and WBS, Profit: 879.4464873202005
Pair: FFBC and UMBF, Profit: 878.2560438184656
Pair: FNB and SFNC, Profit: 875.6675556969489
Pair: ABCB and CADE, Profit: 875.4667609757046
Pair: FBIN and MAS, Profit: 874.7335173833617
Pair: FIBK and WSBC, Profit: 871.8008823365107
Pair: WBS and ZION, Profit: 870.3005558018294
Pair: UBSI and WAFD, Profit: 869.8478824541442
Pair: FULT and RNST, Profit: 869.1885547327099
Pair: HTLF and RNST, Profit: 868.9495303887909
Pair: BANR and FFBC, Profit: 868.3539664876552
Pair: GBCI and SSB, Profit: 868.2025150492666
Pair: CVBF and HOPE, Profit: 867.2445000050809
Pair: HOMB and UBSI, Profit: 866.8852867539119
Pair: AUB and WBS, Profit: 866.8168590420931
Pair: FFBC and ONB, Profit: 866.6987878370354
Pair: HOPE and UBSI, Profit: 864.5374585169558
Pair: AUB and EWBC, Profit: 864.1571188104522
Pair: BRKL and HOPE, Profit: 862.0377403974809
Pair: DCI and GGG, Profit: 861.82124847901
Pair: AUB and BANR, Profit: 861.6788072006694
Pair: ABCB and ONB, Profit: 861.4841951664555
Pair: BANR and UCB, Profit: 861.048120614967
Pair: CFR and FNB, Profit: 858.3853267456172
Pair: EBC and PFS, Profit: 856.6464679032159
Pair: ASB and HTLF, Profit: 853.718145571924
Pair: FFBC and SNV, Profit: 853.4937695127858
Pair: CFB and HOPE, Profit: 852.937207902389
Pair: FIBK and SSB, Profit: 850.6551283907348
Pair: FFBC and SFNC, Profit: 850.649215285972
Pair: FBP and PB, Profit: 850.3704628673388
Pair: BKU and FULT, Profit: 850.2131994240576
Pair: FBP and HTLF, Profit: 847.3149082697222
Pair: CADE and SFNC, Profit: 846.8857571533616
Pair: FBMS and WSBC, Profit: 844.8188945427468
Pair: FNB and ZION, Profit: 844.2706040345812
Pair: HOPE and WSFS, Profit: 843.7805126358421
Pair: CADE and FFBC, Profit: 842.1540488428776
Pair: WAFD and WSBC, Profit: 840.8913636154758
Pair: AUB and FULT, Profit: 838.6822077341185
Pair: FIBK and PNFP, Profit: 838.310250219311
Pair: FBP and SNV, Profit: 835.6431098501265
Pair: ONB and RNST, Profit: 835.0011797925306
Pair: BRKL and HTBK, Profit: 834.7753281244758
Pair: FBMS and HOPE, Profit: 832.6331163726767
Pair: CATY and SSB, Profit: 832.4288860864236
Pair: CBSH and WAFD, Profit: 831.8413775080866
Pair: FCF and STEL, Profit: 831.7240537751968
Pair: RNST and WAFD, Profit: 831.051488249423
Pair: HOPE and PB, Profit: 829.0928394939817
Pair: FNB and FULT, Profit: 826.91739699362
Pair: ABCB and PFS, Profit: 825.6978202278162
Pair: ABCB and BRKL, Profit: 825.6578132465613
Pair: CADE and FBMS, Profit: 825.0578663755315
Pair: FFBC and FIBK, Profit: 824.9080804339757
Pair: GTES and KMT, Profit: 824.8905068998712
Pair: BRKL and SFNC, Profit: 824.1224496248461
Pair: ABCB and FNB, Profit: 822.6853543151889
Pair: WAFD and ZION, Profit: 821.8531890659293
Pair: BPOP and EBC, Profit: 820.6063633292149
Pair: FNB and HOPE, Profit: 820.4243534135329
Pair: FNB and VBTX, Profit: 819.3709403830687
Pair: FNB and SNV, Profit: 819.3353299546498
Pair: CADE and PFS, Profit: 817.244521446445
Pair: BANR and SBCF, Profit: 816.3759636938462
Pair: FFBC and HOPE, Profit: 815.5847313548447
Pair: BUSE and FNB, Profit: 814.3667513024848
Pair: ASB and CFR, Profit: 814.2897677398113
Pair: SSB and WBS, Profit: 811.113422543603
Pair: ASB and AUB, Profit: 810.8964193831216
Pair: CADE and FIBK, Profit: 810.6836001519215
Pair: FIBK and ZION, Profit: 810.6402658482571
Pair: EWBC and FIBK, Profit: 809.8751640895911
Pair: AUB and OCFC, Profit: 809.6096781407607
Pair: ASB and SNV, Profit: 809.5811837326504
Pair: BPOP and FNB, Profit: 808.2486650365266
Pair: BKU and HOMB, Profit: 808.0993029884607
Pair: CFB and HOMB, Profit: 808.068962387001
Pair: FIBK and PFC, Profit: 807.914329164838
Pair: CADE and UMBF, Profit: 806.7920855162891
Pair: CBSH and FFBC, Profit: 806.2833329854045
Pair: HTLF and UCB, Profit: 805.0382100851989
Pair: FBMS and ONB, Profit: 804.5415499297396
Pair: BKU and FBP, Profit: 804.4783988046117
Pair: AUB and BUSE, Profit: 804.0937594934396
Pair: FBMS and FULT, Profit: 803.1186566046259
Pair: CATY and WSBC, Profit: 801.2261235748837
Pair: FBP and VBTX, Profit: 800.1914084636185
Pair: ABCB and FFBC, Profit: 798.5898096514359
Pair: NWBI and PB, Profit: 798.4479256008674
Pair: FIBK and OCFC, Profit: 797.7886373569764
Pair: CCS and JELD, Profit: 797.4492615974486
Pair: RNST and WSBC, Profit: 796.8959319482117
Pair: ASB and PB, Profit: 794.9301229522349
Pair: HOMB and VBTX, Profit: 794.5915275959776
Pair: BPOP and OCFC, Profit: 793.8924677760126
Pair: FNB and RNST, Profit: 792.9784565462012
Pair: HOPE and VBTX, Profit: 791.3464148880939
Pair: CVBF and FFBC, Profit: 789.8959773621898
Pair: AX and RNST, Profit: 788.8471206643206
Pair: FBMS and WBS, Profit: 788.658509824298
Pair: DCI and TKR, Profit: 787.2555290875118
Pair: ONB and UMBF, Profit: 786.3792165143706
Pair: BRKL and BUSE, Profit: 786.2744927663846
Pair: BKU and HOPE, Profit: 785.1388686589967
Pair: CBSH and UBSI, Profit: 783.9624535940253
Pair: COLB and HOMB, Profit: 783.2750165224451
Pair: AX and HOMB, Profit: 779.5160963531156
Pair: AUB and SNV, Profit: 778.228602247439
Pair: FBIN and MLI, Profit: 776.7513821571797
Pair: CATY and ONB, Profit: 774.0191168117751
Pair: FULT and ONB, Profit: 773.6937186062015
Pair: CVBF and EBC, Profit: 773.0449023222486
Pair: FBMS and FNB, Profit: 772.0044830515836
Pair: HTBK and SBCF, Profit: 771.657065660261
Pair: ASB and UMBF, Profit: 770.0777109477971
