Pair: BUSE and THFF, Profit: 1447.3493429983596
Pair: FNB and OCFC, Profit: 1439.4027573657795
Pair: GBCI and UMBF, Profit: 1437.273167528961
Pair: BUSE and NTCT, Profit: 1437.1235993743362
Pair: SHBI and UMBF, Profit: 1425.9719439871872
Pair: TRST and WSFS, Profit: 1421.1870848651251
Pair: NBTB and SHBI, Profit: 1420.9286122892142
Pair: SHBI and TRST, Profit: 1412.9176650704924
Pair: NBHC and WSFS, Profit: 1405.9758309046883
Pair: SSB and TRST, Profit: 1404.9346970138108
Pair: FMBH and WSFS, Profit: 1401.9122532342212
Pair: GEF and INDB, Profit: 1397.0935660578887
Pair: FCNCA and TCBK, Profit: 1390.904223604319
Pair: NBHC and SSB, Profit: 1387.5937167452496
Pair: CFB and THFF, Profit: 1387.1927901274794
Pair: HTLF and INDB, Profit: 1386.327013152357
Pair: INDB and TFIN, Profit: 1383.8731822124148
Pair: HBNC and NBTB, Profit: 1383.7783706221712
Pair: BY and SBCF, Profit: 1380.8482410913623
Pair: FRST and TRST, Profit: 1380.49455029579
Pair: TCBK and TFIN, Profit: 1379.8716941761243
Pair: NBHC and TRMK, Profit: 1377.9173282359006
Pair: FBK and WSFS, Profit: 1375.1680945564167
Pair: SBSI and UMBF, Profit: 1373.265961066685
Pair: HFWA and WSFS, Profit: 1365.72541548875
Pair: FLIC and TCBK, Profit: 1364.3547611057884
Pair: BWB and SBSI, Profit: 1356.517911442701
Pair: OCFC and WSBC, Profit: 1355.5499503631172
Pair: CVBF and WTFC, Profit: 1349.7972130922212
Pair: SSB and TFIN, Profit: 1345.903697808079
Pair: HBNC and HFWA, Profit: 1341.9360518313815
Pair: FBMS and IBTX, Profit: 1340.0694488721535
Pair: FMBH and SHBI, Profit: 1336.0118642905807
Pair: AMTB and BUSE, Profit: 1333.9134032568381
Pair: FRST and THFF, Profit: 1333.8110574282234
Pair: MSBI and WSFS, Profit: 1326.4995703095608
Pair: BHRB and IBTX, Profit: 1324.426103286081
Pair: GOOG and GOOGL, Profit: 1312.7976786639013
Pair: BUSE and TRMK, Profit: 1307.8719752881798
Pair: CFB and HTBK, Profit: 1305.8308895573605
Pair: ABCB and PB, Profit: 1305.7913886650233
Pair: BUSE and CFB, Profit: 1305.3666085153466
Pair: FBMS and HTLF, Profit: 1304.4032535605736
Pair: INDB and UPBD, Profit: 1299.6466890595048
Pair: BUSE and SBSI, Profit: 1297.328929469813
Pair: IBTX and NBTB, Profit: 1296.4649465142145
Pair: FMBH and SSB, Profit: 1292.203755072711
Pair: AMTB and HBNC, Profit: 1290.6361771758318
Pair: TFIN and TRST, Profit: 1290.202734181787
Pair: EVBN and NBHC, Profit: 1288.6723917636173
Pair: MSBI and SSB, Profit: 1284.2310564911566
Pair: MSBI and UMBF, Profit: 1283.5502530879378
Pair: CFB and WSBC, Profit: 1282.354553091705
Pair: HBNC and PFS, Profit: 1281.8500913262951
