('BKU','FCF',1)
('AUB','NWBI',1)
('FBMS','GBCI',1)
('EWBC','PB',1)
('FIBK','SNV',1)
('FCF','SBCF',1)
('HOMB','SFNC',1)
('NWBI','SBCF',1)
('ASB','HOMB',1)
('EQH','JHG',1)
('OZK','SNV',1)
('BPOP','FCF',1)
('ABCB','UCB',1)
('CBSH','SSB',1)
('CATY','FCF',1)
('PFS','UBSI',1)
('EQH','MTG',1)
('CVBF','NWBI',1)
('HWC','SFNC',1)
('HOMB','PB',1)
('AUB','BRKL',1)
('ABCB','FCF',1)
('FFBC','PNFP',1)
('HOMB','PFS',1)
('LEO','SUPN',1)
('FIBK','VBTX',1)
('FFBC','WAFD',1)
('HOPE','PFS',1)
('SNV','WSBC',1)
('CFR','PB',1)
('AUB','FCF',1)
('OCFC','PNFP',1)
('SNV','WBS',1)
('ABCB','UBSI',1)
('BRKL','WSBC',1)
('CVBF','SSB',1)
('BR','IIF',1)
('UBSI','WTFC',1)
('CVBF','HTBK',1)
('HWC','PFS',1)
('GNTX','LEA',1)
('ALLE','GGG',1)
('SHOO','SLM',1)
('CFG','FIBK',1)
('ABCB','CVBF',1)
('EBC','FBMS',1)
('HOMB','NWBI',1)
('ASB','RNST',1)
('AOS','CSL',1)
('FITB','HOMB',1)
('CFR','FIBK',1)
('BRKL','UBSI',1)
('HOMB','HTBK',1)
('AUB','GBCI',1)
('GBCI','UCB',1)
('FCF','UBSI',1)
('EBC','SSB',1)
('NWBI','WTFC',1)
('NWBI','TOWN',1)
('BANR','FCF',1)
('NWBI','SFNC',1)
('GBCI','PPBI',1)
('HOMB','HOPE',1)
('HOPE','OZK',1)
('EBC','PNFP',1)
('ASB','HOPE',1)
('HOMB','WAFD',1)
('CBSH','EWBC',1)
('CVBF','PPBI',1)
('GBCI','HOPE',1)
('PNFP','RNST',1)
('BRKL','PFS',1)
('ALLE','FBIN',1)
('NWBI','RNST',1)
('ETR','PPL',1)
('FCF','HOPE',1)
('ASB','EBC',1)
('PNFP','UBSI',1)
('OZK','SFNC',1)
('FIBK','HOMB',1)
('FCF','SFNC',1)
('BRKL','SNV',1)
('EWBC','NWBI',1)
('FIBK','SFNC',1)
('EBC','FCF',1)
('PFG','SNV',1)
('EBC','SFNC',1)
('AFL','HIG',1)
('CNO','MTG',1)
('FCF','RNST',1)
('ASB','WAFD',1)
('CFR','SFNC',1)
('PNFP','VBTX',1)
('OSBC','WSBC',1)
('FCF','PB',1)
('OSBC','SNV',1)
('CADE','HOMB',1)
('L','ORI',1)
('EBC','HOMB',1)
('HWC','LXP',1)
('HOMB','OZK',1)
('CBSH','WSBC',1)
('MTG','ZWS',1)
('HOMB','UMBF',1)
('HOMB','PNFP',1)
('AORT','JLL',1)
('CBSH','NWBI',1)
