Pair: CBAN and CPF, Profit: 1779.7371234874495
Pair: INDB and SFBS, Profit: 1779.3809890669208
Pair: BOKF and PFBC, Profit: 1778.5279814349587
Pair: AMD and VRT, Profit: 1776.2473754912594
Pair: CUBI and QCRH, Profit: 1776.1108427213862
Pair: LEU and UEC, Profit: 1774.237300784753
Pair: CMT and KVHI, Profit: 1771.3914968632478
Pair: CLSK and PYPL, Profit: 1771.1992047064355
Pair: AMZN and HOOD, Profit: 1766.1059268028291
Pair: ICHR and MKSI, Profit: 1764.1532028185547
Pair: ABCB and SYBT, Profit: 1764.102348913672
Pair: BY and SFNC, Profit: 1762.344352328642
Pair: SYBT and TCBI, Profit: 1759.134325416743
Pair: ATGE and ENVA, Profit: 1757.700955793434
Pair: FSFG and IDA, Profit: 1756.8789990709943
Pair: ASTS and IREN, Profit: 1753.4960868528062
Pair: FN and ICHR, Profit: 1752.1023135519006
Pair: CVLT and UPST, Profit: 1748.4264178824476
Pair: BY and FHB, Profit: 1748.3043305747406
Pair: HOOD and PLTR, Profit: 1746.3280198355635
Pair: MARA and NVDA, Profit: 1746.1523712667554
Pair: ESP and WLDN, Profit: 1745.1481500890727
Pair: BTBT and IONQ, Profit: 1741.0075619984814
Pair: QUBT and TSLA, Profit: 1740.2925065037311
Pair: ETN and IESC, Profit: 1740.277730607798
Pair: AMZN and CLSK, Profit: 1739.9608890514714
Pair: MARA and XYZ, Profit: 1736.7909723810153
Pair: NVDA and RKLB, Profit: 1736.7570712567353
Pair: SBCF and WASH, Profit: 1735.6919786435656
Pair: JD and KC, Profit: 1735.491632345836
Pair: RMBS and VRT, Profit: 1733.9466795000894
Pair: CENT and CENTA, Profit: 1731.0947974464395
Pair: KFS and SRBK, Profit: 1730.8892123497753
Pair: BTDR and MSTR, Profit: 1729.4873574431685
Pair: CIGI and CIX, Profit: 1729.180700524551
Pair: CAN and MARA, Profit: 1728.9927984085539
Pair: NVDA and RIOT, Profit: 1727.1290982113674
Pair: MOD and POWL, Profit: 1726.3887207183197
Pair: ARM and MU, Profit: 1724.4592009306268
Pair: GSHD and VLY, Profit: 1721.0788969373787
Pair: GEV and RDDT, Profit: 1719.9144096329564
Pair: FFBC and THFF, Profit: 1718.0287390976782
Pair: AMZN and WULF, Profit: 1716.8607660477671
Pair: HOOD and TEAM, Profit: 1716.7734268472784
Pair: CWBC and HAE, Profit: 1716.021655351172
Pair: IONQ and RCAT, Profit: 1715.5991468029117
Pair: SOFI and VRT, Profit: 1713.9484274197368
Pair: CRMT and EVBN, Profit: 1713.7591833801666
Pair: POWL and SOFI, Profit: 1712.1669543610362
